time_stamp,advertising_address,power_level
1697559930.325728,5f:be:24:61:e2:52,7
1697559930.325728,52:2e:e7:a6:73:4b,7
1697559930.330487,52:2e:e7:a6:73:4b,7
1697559930.433796,7f:f4:e4:2c:f6:a4,6
1697559930.441817,7f:f4:e4:2c:f6:a4,6
1697559930.445349,7f:f4:e4:2c:f6:a4,6
1697559930.459122,65:02:2d:d2:42:00,8
1697559930.459122,65:02:2d:d2:42:00,8
1697559930.484829,77:08:c1:87:ac:9a,8
1697559930.498697,6a:b4:99:8f:3c:7b,3
1697559930.498697,6a:b4:99:8f:3c:7b,3
1697559930.518159,4a:17:d5:d3:2c:31,8
1697559930.519892,4a:17:d5:d3:2c:31,8
1697559930.519892,4a:17:d5:d3:2c:31,8
1697559930.555902,4b:21:9f:41:5b:82,12
1697559930.576128,72:43:e4:91:6c:8d,8
1697559930.576128,72:43:e4:91:6c:8d,8
1697559930.579115,72:43:e4:91:6c:8d,8
1697559930.588147,7a:56:92:d9:93:ef,7
1697559930.588147,7a:56:92:d9:93:ef,7
1697559930.597234,7a:56:92:d9:93:ef,7
1697559930.628773,7f:ee:db:b6:27:b6,12
1697559930.658511,50:c5:40:32:85:d8,8
1697559930.662526,50:c5:40:32:85:d8,8
1697559930.662526,50:c5:40:32:85:d8,8
1697559930.662526,71:e7:a8:f6:32:3d,7
1697559930.662526,71:e7:a8:f6:32:3d,7
1697559930.670546,71:e7:a8:f6:32:3d,7
1697559930.685267,5c:cc:3a:bb:44:6a,9
1697559930.686784,68:a6:c5:bc:71:83,7
1697559930.695531,5f:be:24:61:e2:52,7
1697559930.695531,5f:be:24:61:e2:52,7
1697559930.695531,5f:be:24:61:e2:52,7
1697559930.699325,52:2e:e7:a6:73:4b,7
1697559930.699325,52:2e:e7:a6:73:4b,7
1697559930.699325,52:2e:e7:a6:73:4b,7
1697559930.702299,43:40:9d:b7:43:28,8
1697559930.703309,43:40:9d:b7:43:28,8
1697559930.727426,43:40:9d:b7:43:28,8
1697559930.798717,65:02:2d:d2:42:00,8
1697559930.80003,65:02:2d:d2:42:00,8
1697559930.801041,65:02:2d:d2:42:00,8
1697559930.839992,7e:5a:6c:04:19:16,7
1697559930.842005,7e:5a:6c:04:19:16,7
1697559930.846021,7e:5a:6c:04:19:16,7
1697559930.862885,4a:17:d5:d3:2c:31,8
1697559930.862885,4a:17:d5:d3:2c:31,8
1697559930.866919,5e:47:50:19:51:66,4
1697559930.868155,5e:47:50:19:51:66,4
1697559930.868155,5e:47:50:19:51:6e,4
1697559930.883147,6d:29:c6:aa:f4:c8,5
1697559930.910297,5c:cc:3a:bb:44:6a,9
1697559930.915812,4f:c0:6d:b4:66:58,7
1697559930.946319,7a:56:92:d9:93:ef,7
1697559930.948331,7a:56:92:d9:93:ef,7
1697559930.948331,7a:56:92:d9:93:ef,7
1697559930.963966,70:ec:b9:0c:e9:d0,7
1697559930.972351,70:ec:b9:0c:e9:d0,7
1697559930.973583,70:ec:b9:0c:e9:d0,7
1697559930.98867,50:c5:40:32:85:d8,8
1697559930.98867,50:c5:40:32:85:d8,8
1697559930.996685,74:a0:83:fb:de:c3,12
1697559930.996685,74:a0:83:fb:de:c3,12
1697559931.004939,74:a0:83:fb:de:c3,12
1697559931.0065,71:e7:a8:f6:32:3d,7
1697559931.007893,71:e7:a8:f6:32:3d,7
1697559931.007893,71:e7:a8:f6:32:3d,7
1697559931.013407,5f:be:24:61:e2:52,7
1697559931.023839,5f:be:24:61:e2:52,7
1697559931.026654,5f:be:24:61:e2:52,7
1697559931.037688,43:40:9d:b7:43:28,8
1697559931.06963,7f:f4:e4:2c:f6:a4,6
1697559931.071147,7f:f4:e4:2c:f6:a4,6
1697559931.071147,7f:f4:e4:2c:f6:a4,6
1697559931.0764,65:02:2d:d2:42:00,8
1697559931.07946,65:02:2d:d2:42:00,8
1697559931.082222,65:02:2d:d2:42:00,8
1697559931.091657,5c:cc:3a:bb:44:6a,9
1697559931.104342,6a:b4:99:8f:3c:7b,3
1697559931.105355,6a:b4:99:8f:3c:7b,3
1697559931.109663,6a:b4:99:8f:3c:7b,3
1697559931.129328,4a:17:d5:d3:2c:31,8
1697559931.142034,6c:90:bc:a7:23:9f,8
1697559931.146201,72:0a:f0:cf:c8:5c,8
1697559931.146201,72:0a:f0:cf:c8:5c,8
1697559931.153214,6d:29:c6:aa:f4:c8,5
1697559931.153214,4b:21:9f:41:5b:82,12
1697559931.159726,4b:21:9f:41:5b:82,12
1697559931.177555,72:43:e4:91:6c:8d,8
1697559931.177555,72:43:e4:91:6c:8d,8
1697559931.185575,72:43:e4:91:6a:8d,8
1697559931.326223,70:ec:b9:0c:e9:d0,7
1697559931.326223,70:ec:b9:0c:e9:d0,7
1697559931.330391,70:ec:b9:0c:e9:d0,7
1697559931.342936,7f:ee:db:b6:27:b6,12
1697559931.344533,7f:ee:db:b6:27:b6,12
