time_stamp,advertising_address
1707957703.6907036,5f:a8:0b:a0:94:29
1707957703.710649,50:4d:4e:fc:32:83
1707957703.7173977,5f:a8:0b:a0:94:29
1707957703.737236,50:4d:4e:fc:32:83
1707957703.7461529,5f:a8:0b:a0:94:29
1707957703.780906,5f:a8:0b:a0:94:29
1707957703.7924666,5f:a8:0b:a0:94:29
1707957703.8184025,5f:a8:0b:a0:94:29
1707957703.8188975,50:4d:4e:fc:32:83
1707957703.8460548,5f:a8:0b:a0:94:29
1707957703.8662677,5f:a8:0b:a0:94:29
1707957703.8919008,5f:a8:0b:a0:94:29
1707957703.8924348,50:4d:4e:fc:32:83
1707957703.9109752,5f:a8:0b:a0:94:29
1707957703.983111,5f:a8:0b:a0:94:29
1707957704.003735,50:4d:4e:fc:32:83
1707957704.030794,5f:a8:0b:a0:94:29
1707957704.0973892,50:4d:4e:fc:32:83
1707957704.1146379,5f:a8:0b:a0:94:29
1707957704.1511135,5f:a8:0b:a0:94:29
1707957704.175805,5f:a8:0b:a0:94:29
1707957704.1787345,50:4d:4e:fc:32:83
1707957704.226234,5e:19:5f:d5:32:ba
1707957704.249375,5f:a8:0b:a0:94:29
1707957704.267345,50:4d:4e:fc:32:83
1707957704.295118,50:4d:4e:fc:32:83
1707957704.336872,50:4d:4e:fc:32:83
1707957704.3569462,5f:a8:0b:a0:94:29
1707957704.3834474,5f:a8:0b:a0:94:29
1707957704.4298444,5f:a8:0b:a0:94:29
1707957704.4311507,50:4d:4e:fc:32:83
1707957704.4598696,50:4d:4e:fc:32:83
1707957704.4751165,50:4d:4e:fc:32:83
1707957704.4858456,5f:a8:0b:a0:94:29
1707957704.5085008,5f:a8:0b:a0:94:29
1707957704.5273178,50:4d:4e:fc:32:83
1707957704.5344334,5f:a8:0b:a0:94:29
1707957704.5900218,5f:a8:0b:a0:94:29
1707957704.6122313,50:4d:4e:fc:32:83
1707957704.6176584,ef:21:ad:2c:3f:0b
1707957704.6196368,5f:a8:0b:a0:94:29
1707957704.6394947,50:4d:4e:fc:32:83
1707957704.6709688,5f:a8:0b:a0:94:29
1707957704.7081256,50:4d:4e:fc:32:83
1707957704.7098887,5f:a8:0b:a0:94:29
1707957704.7381778,5f:a8:0b:a0:94:29
1707957704.7610407,50:4d:4e:fc:32:83
1707957704.7821474,50:4d:4e:fc:32:83
1707957704.808662,50:4d:4e:fc:32:83
1707957704.8348968,50:4d:4e:fc:32:83
1707957704.876245,50:4d:4e:fc:32:83
1707957704.925968,5f:a8:0b:a0:94:29
1707957704.9460561,50:4d:4e:fc:32:83
1707957704.948526,5f:a8:0b:a0:94:29
1707957704.9624314,50:4d:4e:fc:32:83
1707957705.0043907,50:4d:4e:fc:32:83
1707957705.0245082,5f:a8:0b:a0:94:29
1707957705.047213,5f:a8:0b:a0:94:29
1707957705.1161692,57:a0:0b:a0:91:6d
1707957705.179468,50:4d:4e:fc:32:83
1707957705.1921904,5f:a8:0b:a0:94:69
1707957705.2462404,5f:a8:0b:a0:94:29
1707957705.2535975,50:4d:4e:fc:32:83
1707957705.3645086,ce:da:fe:e9:a6:9e
1707957705.3686407,50:4d:4e:fc:32:83
