time_stamp,advertising_address
1707958813.298277,ef:21:ad:2c:3f:0b
1707958815.299828,ef:21:ad:2c:3f:0b
1707958817.307491,ef:21:ad:2c:3f:0b
1707958818.0170722,ec:f8:8c:3c:c9:6c
1707958819.3116026,ef:21:ad:2c:3f:0b
1707958820.3983495,87:76:38:ef:54:44
1707958821.316994,ef:21:ad:2c:3f:0b
1707958823.3248644,ef:21:ad:2c:3f:0b
1707958825.3322396,ef:21:ad:2c:3f:0b
1707958827.3375354,ef:21:ad:2c:3f:0b
1707958829.3464472,ef:21:ad:2c:3f:0b
1707958831.3514857,ef:21:ad:2c:3f:0b
1707958833.357133,ef:21:ad:2c:3f:0b
1707958835.3630204,ef:21:ad:2c:3f:0b
1707958837.365323,ef:21:ad:2c:3f:0b
1707958839.370683,ef:21:ad:2c:3f:0b
1707958841.3460398,e1:47:f6:d9:cd:21
1707958841.379386,ef:21:ad:2c:3f:0b
1707958843.38937,ef:21:ad:2c:3f:0b
1707958845.3949842,ef:21:ad:2c:3f:0b
1707958847.4008393,ef:21:ad:2c:3f:0b
1707958849.408999,ef:21:ad:2c:3f:0b
1707958851.4156697,ef:21:ad:2c:3f:0b
1707958853.4254131,ef:21:ad:2c:3f:0b
1707958855.4320214,ef:21:ad:2c:3f:0b
1707958857.4320364,ef:21:ad:2c:3f:0b
1707958859.4355712,ef:21:ad:2c:3f:0b
1707958861.43757,ef:21:ad:2c:3f:0b
1707958865.4457445,ef:21:ad:2c:3f:0b
1707958867.4500153,ef:21:ad:2c:3f:0b
